FACULTAD;PROGRAMA;SEDE;MODALIDAD;TIPO INSCRIPCION;Número de CUOTAS;SEXO;Número de Estudiantes;VALOR MATRICULA BRUTA;VALOR MATRICULA NETA
CIENCIAS DE LA EDUCACION;DOCTORADO EN PEDAGOGÍA Y DIDÁCTICA;TUNJA;Presencial;INSCRIPCIÓN REGULAR;2;M;6;73794240;61452500
CIENCIAS DE LA EDUCACION;DOCTORADO EN PEDAGOGÍA Y DIDÁCTICA;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;F;15;183793520;144436592
CIENCIAS DE LA EDUCACION;DOCTORADO EN PEDAGOGÍA Y DIDÁCTICA;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;M;11;134943400;100506088
CIENCIAS DE LA EDUCACION;ESPECIALIZACIÓN EN ARCHIVÍSTICA;TUNJA;Presencial;INSCRIPCIÓN REGULAR;2;F;9;46275138;40356221
CIENCIAS DE LA EDUCACION;ESPECIALIZACIÓN EN ARCHIVÍSTICA;TUNJA;Presencial;INSCRIPCIÓN REGULAR;2;M;2;10761660;9642793
CIENCIAS DE LA EDUCACION;ESPECIALIZACIÓN EN ARCHIVÍSTICA;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;F;6;32284980;27711272
CIENCIAS DE LA EDUCACION;ESPECIALIZACIÓN EN ARCHIVÍSTICA;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;M;7;37665810;33092101
CIENCIAS DE LA EDUCACION;ESPECIALIZACIÓN EN ARCHIVÍSTICA;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);2;F;2;8609328;6456996
CIENCIAS DE LA EDUCACION;ESPECIALIZACIÓN EN ARCHIVÍSTICA;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);1;F;1;5380830;4304664
CIENCIAS DE LA EDUCACION;ESPECIALIZACIÓN EN ARCHIVÍSTICA;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);1;M;2;10761660;9147410
CIENCIAS DE LA EDUCACION;ESPECIALIZACIÓN EN GERENCIA EDUCACIONAL;TUNJA;Presencial;INSCRIPCIÓN REGULAR;2;F;2;10761660;8878369
CIENCIAS DE LA EDUCACION;ESPECIALIZACIÓN EN GERENCIA EDUCACIONAL;TUNJA;Presencial;INSCRIPCIÓN REGULAR;2;M;2;10761660;10223576
CIENCIAS DE LA EDUCACION;ESPECIALIZACIÓN EN GERENCIA EDUCACIONAL;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;F;4;21523320;17756738
CIENCIAS DE LA EDUCACION;ESPECIALIZACIÓN EN GERENCIA EDUCACIONAL;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;M;1;5380830;4842747
CIENCIAS DE LA EDUCACION;ESPECIALIZACIÓN EN GERENCIA EDUCACIONAL;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);2;F;23;123759090;104926185
CIENCIAS DE LA EDUCACION;ESPECIALIZACIÓN EN GERENCIA EDUCACIONAL;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);2;M;18;90397944;78560118
CIENCIAS DE LA EDUCACION;ESPECIALIZACIÓN EN GERENCIA EDUCACIONAL;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);1;F;71;382124330;322636275
CIENCIAS DE LA EDUCACION;ESPECIALIZACIÓN EN GERENCIA EDUCACIONAL;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);1;M;55;295988350;243134508
CIENCIAS DE LA EDUCACION;ESPECIALIZACIÓN EN GESTIÓN DEL PATRIMONIO CULTURAL;TUNJA;Otra;INSCRIPCIÓN REGULAR;1;F;3;16142490;14216498
CIENCIAS DE LA EDUCACION;ESPECIALIZACIÓN EN GESTIÓN DEL PATRIMONIO CULTURAL;TUNJA;Otra;INSCRIPCIÓN REGULAR;1;M;1;5380830;5111788
CIENCIAS DE LA EDUCACION;ESPECIALIZACIÓN EN GESTIÓN DEL PATRIMONIO CULTURAL;TUNJA;Otra;OPCIÓN DE GRADO PREGRADO (RES 16-2009);1;F;5;26904150;22868525
CIENCIAS DE LA EDUCACION;ESPECIALIZACIÓN EN GESTIÓN DEL PATRIMONIO CULTURAL;TUNJA;Otra;OPCIÓN DE GRADO PREGRADO (RES 16-2009);1;M;7;37665810;32015935
CIENCIAS DE LA EDUCACION;ESPECIALIZACIÓN EN GESTIÓN DEL PATRIMONIO CULTURAL;TUNJA;Presencial;INSCRIPCIÓN REGULAR;2;F;3;13990158;11299743
CIENCIAS DE LA EDUCACION;ESPECIALIZACIÓN EN GESTIÓN DEL PATRIMONIO CULTURAL;TUNJA;Presencial;INSCRIPCIÓN REGULAR;2;M;1;5380830;4261964
